phu_luc,chuong,ma_hs,mo_ta,can_kiem_tra
II,71,7102.10.00.10,"Ngọc trai tự nhiên hoặc nuôi cấy, đá quý hoặc đá bán quý, kim loại quý, kim loại được dát phủ kim loại quý, và các sản phẩm của chúng; đồ trang sức làm bằng chất liệu khác; tiền kim loại Kim cương, đã hoặc chưa được gia công, nhưng chưa được gắn hoặc nam dát. - Kim cương chưa được phân loại: Chưa gia công hoặc mới chỉ được cắt, tách một cách đơn giản hay mới chỉ được chuốt hoặc mài sơ qua",x
II,71,7102.10.00.90,Loại khác Kim cương công nghiệp:,x
II,71,7102.39.00,"Loại khác Kim cương phi công nghiệp: Chưa gia công hoặc mới chỉ được cắt, tách một cách đơn giản hoặc mới chỉ được chuốt hoặc mài sơ qua Loại khác",x
II,71,7103.10,"Đá quý (trừ kim cương) và đá bán quý, đã hoặc chưa được gia công hoặc phân loại nhưng chưa xâu chuỗi, chưa gắn hoặc nạm dát; đá quý (trừ kim cương) và đá bán quý chưa được phân loại, đã được xâu thành chuỗi tạm thời để tiện vận chuyển. Chưa gia công hoặc mới chỉ được cắt đơn giản hoặc tạo hình thô:",x
II,71,7103.10.90,Loại khác Đã gia công cách khác:,x
II,71,7104.10.20,"Đã gia công Loại khác, chưa gia công hoặc mới chỉ được cắt đơn giản hoặc tạo hình thô:",x
II,71,7104.29.00,Loại khác Loại khác:,x
II,71,7105.90.00,Của kim cương Loại khác,x
II,71,7106.10.00,"Bạc (kể cả bạc được mạ vàng hoặc bạch kim), chưa gia công hoặc ở dạng bán thành phẩm, hoặc dạng bột. Dạng bột Loại khác:",x
II,71,7113.19,"Đồ trang sức và các bộ phận của đồ trang sức, bằng kim loại quý hoặc kim loại được dát phủ kim loại quý. Bằng kim loại quý đã hoặc chưa mạ hoặc dát phủ kim loại quý: Bằng kim loại quý khác, đã hoặc chưa mạ hoặc dát phủ kim loại quý:",x
II,71,7114.19.00,"Đồ kỹ nghệ vàng hoặc bạc và các bộ phận của đồ kỹ nghệ vàng bạc, bằng kim loại quý hoặc kim loại dát phủ kim loại quý. Bằng kim loại quý đã hoặc chưa mạ hoặc dát phủ kim loại quý: Bằng kim loại quý khác, đã hoặc chưa mạ hoặc dát phủ kim loại quý",x
II,72,7202.99.00,Loại khác: Loại khác,x
II,72,7204.10.00,Phế liệu và mảnh vụn của gang đúc Phế liệu và mảnh vụn của thép hợp kim:,x
II,74,7403.22.00,Hợp kim đồng-kẽm (đồng thau) Hợp kim đồng-thiếc (đồng thanh),x
II,74,7407.10.41,"Hợp kim đồng khác (trừ các loại hợp kim đồng chủ thuộc nhóm 74.05) liệu và mảnh vụn của đồng. kim đồng chủ. Bột và vảy đồng. Bột không có cấu trúc lớp Bột có cấu trúc lớp; vày đồng Đồng ở dạng thanh, que và dạng hình. - Bằng đồng tinh luyện: Dạng hình - Dạng thanh và que: Mặt cắt ngang hình vuông hoặc hình chữ nhật Phế Hợp",x
II,74,7407.10.49,Loại khác Bằng hợp kim đồng:,x
II,74,7411.10.00,Các loại ống và ống dẫn bằng đồng. Bằng đồng tinh luyện:,x
II,74,7411.22.00,Loại khác Bằng hợp kim đồng: Bằng hợp kim đồng-kẽm (đồng thau) Bằng hợp kim đồng-niken (đồng kền) hoặc hợp kim đồng-niken-kẽm (bạc niken),x
II,75,7501.10.00,"Sten niken, oxit niken thiêu kết và các sản phẩm trung gian khác của quá trình luyện niken. Sten niken",x
II,75,7503.00.00.10,"Phế liệu và mảnh vụn niken. Phoi tiện, phoi bào, bụi xẻ, mùn mạt giữa, bột nghiên, bột đẽo của niken, đã hoặc chưa được ép thành khối hay đóng thành kiện, bánh, bó",x
II,75,75.05,"Niken ở dạng thanh, que, hình và dây. Thanh, que và hình:",x
II,76,7604.21,Bằng hợp kim nhôm: Dạng hình rỗng:,x
II,76,76.05,"Dây nhôm. Bằng nhôm, không hợp kim:",x
II,76,7605.21.00,Bằng hợp kim nhôm: Kích thước mặt cắt ngang lớn nhất trên 7 mm,x
II,76,7606.11,"Hình chữ nhật (kể cả hình vuông): Bằng nhôm, không hợp kim:",x
II,79,79.01,"Kẽm chưa gia công. Kẽm, không hợp kim:",x
II,80,8001.10.00,"Thiếc chưa gia công. Thiếc, không hợp kim:",x
II,81,8101.10.00,Bột Loại khác:,x
II,81,8102.94.00,"Bột - Loại khác: Molypđen chưa gia công, kể cả thanh và que thu được từ quá trình thiêu kết",x
II,81,81.09,"Zircon và các sản phẩm làm từ zircon, kể cả phế liệu và mảnh vụn. Zircon chưa gia công; bột:",x
II,81,8109.29.00,Loại khác Phế liệu và mảnh vụn:,x
II,81,8109.39.00,Loại khác Loại khác:,x
II,81,81.12,"Beryli, crôm, hafini, reni, tali, cadimi, germani, vanadi, gali, indi và niobi (columbi), và các sản phẩm từ các kim loại này, kể cả phế liệu và mảnh vụn. Beryli:",x
II,81,8112.19.00,Loại khác Crôm:,x
II,81,8112.29.00,Loại khác Hafini:,x
II,81,8112.39.00,Loại khác Reni:,x
II,81,8112.49.00,Loại khác Tali:,x
II,81,8112.59.00,Loại khác Cađimi:,x
II,81,8112.69.90,Loại khác Loại khác:,x
